,public use microdata area,totalPopulation,totalInsured,totalFertile
0,100,110038,106389,24870
1,200,173406,161297,35839
2,300,126367,122820,25584
3,401,116527,115622,25532
4,402,160689,153554,34186
5,403,108001,107197,24752
6,500,140871,128687,30394
7,600,118987,118400,27415
8,701,143378,140942,40672
9,702,123841,123493,29437
10,703,163521,161309,33611
11,704,113315,109740,24296
12,800,125575,121865,26551
13,901,133500,132095,26908
14,902,111965,110474,31552
15,903,96054,94342,26825
16,904,124862,124399,26159
17,905,105627,105211,25979
18,906,175719,173895,39788
19,1000,99828,96637,20596
20,1101,105274,104728,23233
21,1102,106484,105092,23113
22,1201,103376,102915,23640
23,1202,125776,124369,28025
24,1203,115008,112292,23483
25,1204,152078,151140,34520
26,1205,144491,143149,35971
27,1206,112417,111362,33117
28,1207,167900,164203,34664
29,1300,105048,99913,23226
30,1400,134751,133555,29133
31,1500,119399,118467,28970
32,1600,103104,101578,21636
33,1700,154553,152852,35189
34,1801,105416,102298,22831
35,1802,121637,120716,28328
36,1900,160070,158199,36973
37,2001,106540,104978,30958
38,2002,202306,199570,47167
39,2100,108497,103871,21422
40,2201,121794,119060,29595
41,2202,111812,111302,23229
42,2203,104590,103577,21575
43,2300,104871,104001,30777
44,2401,103236,99106,23684
45,2402,98845,97788,19737
46,2500,124754,123444,27266
47,2600,129504,126975,28020
48,2701,103960,99841,20505
49,2702,150066,147310,33744
50,2801,123757,120145,26766
51,2802,170716,165983,40248
52,2901,124215,122999,29463
53,2902,114735,111181,25853
54,2903,140260,137368,31810
55,3001,105533,104890,22004
56,3002,107653,106894,24743
57,3003,113594,113084,24110
58,3101,100868,100404,23190
59,3102,149724,145311,32328
60,3103,136802,133964,29717
61,3104,122225,121564,28208
62,3105,167318,165885,37309
63,3106,200792,199743,49708
64,3107,195713,193657,47839
65,3201,116546,114429,23031
66,3202,114817,113315,26155
67,3203,103421,103324,22764
68,3204,114576,114576,26281
69,3205,116744,116573,27839
70,3206,147942,146066,40103
71,3207,114398,112518,24436
72,3208,108062,107686,22051
73,3209,103333,103238,22613
74,3210,107173,106674,23706
75,3211,109822,109747,25394
76,3212,104604,103566,23692
77,3301,101045,100469,22703
78,3302,102205,101128,21003
79,3303,117485,115770,23766
80,3304,113108,112385,25352
81,3305,138684,135898,28811
82,3306,134738,133236,33270
83,3307,131607,130868,31120
84,3308,107825,107633,24468
85,3309,99898,99327,22188
86,3310,132811,131955,35671
87,3311,101034,100406,22124
88,3312,101723,101277,22911
89,3313,110420,109892,26855
90,3701,108865,105794,26438
91,3702,150691,149753,41516
92,3703,111431,109276,28195
93,3704,124632,121796,33243
94,3705,174740,174053,47719
95,3706,138899,137821,35086
96,3707,135115,134992,38065
97,3708,151835,151010,41859
98,3709,193240,192534,51635
99,3710,166272,158682,43190
100,3801,238759,236900,64100
101,3802,125195,124694,39542
102,3803,143487,142882,41898
103,3804,134279,132446,39170
104,3805,219004,216477,65826
105,3806,189492,188347,47078
106,3807,140247,140074,41492
107,3808,141162,140915,44973
108,3809,159296,157490,43802
109,3810,152813,152629,49410
110,3901,158257,158141,36437
111,3902,142815,140502,34175
112,3903,174943,173353,41755
113,4001,166361,166178,51283
114,4002,139306,138994,41562
115,4003,148237,147795,43233
116,4004,143328,142291,45977
117,4005,114007,113358,35696
118,4006,134788,133864,40518
119,4007,109658,109529,31394
120,4008,160769,159994,43829
121,4009,208091,207514,53528
122,4010,145860,145370,40085
123,4011,110382,109313,27542
124,4012,149399,147199,41578
125,4013,118804,118595,31020
126,4014,151250,150422,32944
127,4015,163620,163271,42585
128,4016,159017,158571,34833
129,4017,189426,188909,44386
130,4018,116847,115677,24895
131,4101,171988,171676,50442
132,4102,166144,165370,40175
133,4103,245864,243444,59786
134,4104,117381,116856,26736
135,4105,214163,211772,54221
136,4106,166115,164729,43065
137,4107,141167,140321,32700
138,4108,111730,111323,28257
139,4109,135767,135158,36599
140,4110,192600,191945,50401
141,4111,164094,163873,42882
142,4112,243300,241796,62859
143,4113,135422,135388,34447
144,4114,127381,123493,28864
